date,price
2020-01-01,98.70689593308482
2020-01-02,99.73850445847461
2020-01-03,103.51186835168997
2020-01-04,108.43036473818464
2020-01-05,111.64344907451718
2020-01-06,110.97165742974018
2020-01-07,113.51052358206604
2020-01-08,117.37058864085657
2020-01-09,116.67379307444615
2020-01-10,114.14860795749219
2020-01-11,112.8135241540674
2020-01-12,116.52436650263338
2020-01-13,110.83069586770911
2020-01-14,116.10524036486979
2020-01-15,110.7788256177032
2020-01-16,114.541742404478
2020-01-17,114.7447647203024
2020-01-18,113.21422769244893
2020-01-19,114.39909767804994
2020-01-20,112.3344305341684
2020-01-21,112.98546860322664
2020-01-22,114.7268899133987
2020-01-23,117.07695587859797
2020-01-24,111.78544217722694
2020-01-25,111.45922849564553
2020-01-26,117.95870045503347
2020-01-27,119.28496140982593
2020-01-28,118.73446448563443
2020-01-29,119.0750433001072
2020-01-30,116.75451295922122
2020-01-31,117.88606432869051
2020-02-01,122.01136949697234
2020-02-02,120.66420880370825
2020-02-03,118.4795093958288
2020-02-04,121.05853035321616
2020-02-05,127.68246521960991
2020-02-06,124.94387636267389
2020-02-07,121.79319594693452
2020-02-08,123.49175322803525
2020-02-09,124.90125755619067
2020-02-10,124.24465511508824
2020-02-11,123.09397233734504
2020-02-12,124.11634632582306
2020-02-13,117.83361773264333
2020-02-14,118.15811774211467
2020-02-15,113.50784943141328
2020-02-16,113.13748920336418
2020-02-17,113.50637682083318
2020-02-18,111.36920363319
2020-02-19,113.47963373388265
2020-02-20,114.98610932074688
2020-02-21,110.42190682029619
2020-02-22,106.32779549258902
2020-02-23,110.99793804139996
2020-02-24,111.14209074276332
2020-02-25,109.66747477803034
2020-02-26,110.55194898143388
2020-02-27,108.54525032704427
2020-02-28,112.06507448563104
2020-02-29,110.11545952384263
2020-03-01,112.75582231375765
2020-03-02,111.28293991131358
2020-03-03,115.81492598589726
2020-03-04,112.75561066281617
2020-03-05,115.70240737163927
2020-03-06,115.22906966837645
2020-03-07,117.20855716874117
2020-03-08,112.19979162527927
2020-03-09,119.25043649680352
2020-03-10,118.13193391755462
2020-03-11,114.8590828995385
2020-03-12,114.54565329036777
2020-03-13,114.94252078398561
2020-03-14,112.84962169877872
2020-03-15,115.16868981289441
2020-03-16,112.87932242788088
2020-03-17,115.90798285512254
2020-03-18,112.62093822282766
2020-03-19,114.89529774967076
2020-03-20,110.98872605345909
2020-03-21,113.55049123579506
2020-03-22,111.83842756697186
2020-03-23,114.56688052026507
2020-03-24,116.98330543245369
2020-03-25,116.50834378893572
2020-03-26,116.97731947199986
2020-03-27,116.20813412016985
2020-03-28,118.7629630814091
2020-03-29,119.74173709450993
2020-03-30,120.76539180519391
2020-03-31,127.65959316399633
2020-04-01,125.98309643917491
2020-04-02,127.4581444855827
2020-04-03,131.5456742116369
2020-04-04,131.14694457643745
2020-04-05,132.52899795301693
2020-04-06,130.80990070891272
2020-04-07,132.50646830245037
2020-04-08,134.27013906210334
2020-04-09,131.6254330560792
2020-04-10,135.3274855955403
2020-04-11,134.55607071374178
2020-04-12,136.80498769937205
2020-04-13,134.72329992726884
2020-04-14,132.05271400321016
2020-04-15,132.39974146245348
2020-04-16,129.6842032634828
2020-04-17,133.02267780118498
2020-04-18,132.84274756979775
2020-04-19,130.46997549569122
2020-04-20,126.78203571338261
2020-04-21,128.651157068934
2020-04-22,130.50646753058976
2020-04-23,129.8817706747834
2020-04-24,131.33313132721318
2020-04-25,128.35688234799412
2020-04-26,130.95352985377912
2020-04-27,131.87211227227084
2020-04-28,127.1918574613008
2020-04-29,133.52943356669635
2020-04-30,131.17806862681934
2020-05-01,130.91155241399522
2020-05-02,136.17834511548892
2020-05-03,136.2619317296421
2020-05-04,135.43923892698143
2020-05-05,130.7342850903534
2020-05-06,134.8379004224094
2020-05-07,131.45334085500184
2020-05-08,134.85801990481824
2020-05-09,131.09595299006023
2020-05-10,130.62720502719003
2020-05-11,128.39385386766892
2020-05-12,127.3130101609032
2020-05-13,128.2708010079741
2020-05-14,123.50992204352654
2020-05-15,122.6922159521452
2020-05-16,117.51968312389982
2020-05-17,115.15862032281865
2020-05-18,114.58866092078196
2020-05-19,112.10226701282559
2020-05-20,111.5955109174516
2020-05-21,111.2382151157587
2020-05-22,112.27549959041922
2020-05-23,108.88083192476881
2020-05-24,105.46224971340192
2020-05-25,106.12562908702293
2020-05-26,111.15487345119348
2020-05-27,109.53195355091468
2020-05-28,108.43389733073245
2020-05-29,107.94577750536236
2020-05-30,107.86296333665042
2020-05-31,109.60980647912744
2020-06-01,110.15511873239309
2020-06-02,107.59614736127547
2020-06-03,111.68156437100991
2020-06-04,113.75814795902009
2020-06-05,107.59412565510812
2020-06-06,110.28181826428877
2020-06-07,111.72946425260642
2020-06-08,111.64835282956146
2020-06-09,108.90110780944566
2020-06-10,108.45220499706112
2020-06-11,109.8351906780146
2020-06-12,106.73032519073186
2020-06-13,106.10334072317342
2020-06-14,105.28962856832463
2020-06-15,106.40284724197501
2020-06-16,101.65056716086721
2020-06-17,106.21721837777014
2020-06-18,106.9343208187959
2020-06-19,102.09021734211196
2020-06-20,101.38382778736676
2020-06-21,99.37696015837527
2020-06-22,104.35896064706711
2020-06-23,100.48396188513695
2020-06-24,103.17621381941974
2020-06-25,105.81898306833085
2020-06-26,104.64420512125658
2020-06-27,106.13854879467806
2020-06-28,109.1058603515392
2020-06-29,112.1528695047585
2020-06-30,112.76009026901937
2020-07-01,112.68532882451524
2020-07-02,111.2700104168609
2020-07-03,115.547560292437
2020-07-04,117.70402765037484
2020-07-05,117.39282999867973
2020-07-06,117.81155008709814
2020-07-07,118.24745377106451
2020-07-08,115.67256367421689
2020-07-09,113.57547455128204
2020-07-10,117.74202165862754
2020-07-11,116.59190390880433
2020-07-12,115.89458646777116
2020-07-13,116.1670135647324
2020-07-14,114.7056598029263
2020-07-15,110.9727032535734
2020-07-16,111.54599859950294
2020-07-17,114.30682175184995
2020-07-18,108.82780803286317
2020-07-19,110.12575667257967
2020-07-20,109.15886190722824
2020-07-21,108.42741986314238
2020-07-22,113.12542634789533
2020-07-23,107.7649844021831
2020-07-24,106.22822762731695
2020-07-25,107.76202306476199
2020-07-26,109.51686377065542
2020-07-27,104.86349337357412
2020-07-28,106.34389760138285
2020-07-29,108.9166496942491
2020-07-30,111.15198871878562
2020-07-31,111.27745923013825
2020-08-01,106.3247391488838
2020-08-02,112.53934531889907
2020-08-03,113.53337642923243
2020-08-04,111.30666862537153
2020-08-05,107.43721614619041
2020-08-06,103.00142263055571
2020-08-07,102.78734953162171
2020-08-08,105.52493078401591
2020-08-09,108.69658240461601
2020-08-10,98.55321738889285
2020-08-11,101.1552594093597
2020-08-12,99.4303505650647
2020-08-13,100.46915811243238
2020-08-14,96.81309424432483
2020-08-15,93.81457435233372
2020-08-16,91.32907853107115
2020-08-17,92.47726177753844
2020-08-18,88.32486903364219
2020-08-19,88.9591279940123
2020-08-20,90.39893491994798
2020-08-21,87.18993924271851
2020-08-22,85.56497242924767
2020-08-23,85.26060780809226
2020-08-24,87.90511976118749
2020-08-25,84.00003675582647
2020-08-26,84.16665632824912
2020-08-27,87.19169146888255
2020-08-28,86.70289320606457
2020-08-29,88.38302400324622
2020-08-30,87.07582377459936
2020-08-31,89.0152089384603
2020-09-01,90.61371505311509
2020-09-02,89.33327490527847
2020-09-03,88.96871125929344
2020-09-04,90.48756582717067
2020-09-05,91.71218775559262
